4/23/15 8:39 PM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	    27456	 223981	                  1243128	                         1426710	   118	
Restante:     	    10483	  82648	                   470502	                          532997	    29	
Unic:         	    14305	 135362	                   775911	                          885042	    76	
Unic restante:	     5527	  47893	                   295470	                          329191	    16	


Statistica individual del file:

Nomine del file                                                               	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
manual.txt.UTF8                                                               	           4324	            3619	          3854	                 3464	        32197	         29489	       31842	              29209	                         156598	                          141604	                        152567	                               139293	                                184560	                                 167296	                               180352	                                      164832	
English Basic - Copia.txt                                                     	           1062	             557	          1062	                  557	         8481	          4256	        8481	               4256	                         102133	                           53245	                        102133	                                53245	                                104252	                                  54161	                               104252	                                       54161	
TrascrizionePatrickMooreprimarevisioneCopia.odt                               	            411	               0	           411	                    0	         9537	             0	        9537	                  0	                          42697	                               0	                         42697	                                    0	                                 51809	                                      0	                                51809	                                           0	
OmegaT website en\who_we_are.html                                             	             54	               0	            49	                    0	          271	             0	         261	                  0	                           1682	                               0	                          1639	                                    0	                                  1901	                                      0	                                 1853	                                           0	
OmegaT website en\screenshots.html                                            	             21	               0	             3	                    0	           59	             0	          18	                  0	                            383	                               0	                           111	                                    0	                                   421	                                      0	                                  125	                                           0	
OmegaT website en\reviews.html                                                	             45	               0	            26	                    0	          196	             0	         138	                  0	                           1098	                               0	                           728	                                    0	                                  1248	                                      0	                                  839	                                           0	
OmegaT website en\resources.html                                              	             90	               0	            67	                    0	          493	             0	         425	                  0	                           2899	                               0	                          2435	                                    0	                                  3296	                                      0	                                 2786	                                           0	
OmegaT website en\requirements.html                                           	             29	               0	            11	                    0	          230	             0	         184	                  0	                           1301	                               0	                           969	                                    0	                                  1503	                                      0	                                 1142	                                           0	
OmegaT website en\philosophy.html                                             	             58	               0	            40	                    0	          727	             0	         676	                  0	                           3830	                               0	                          3475	                                    0	                                  4500	                                      0	                                 4111	                                           0	
OmegaT website en\omegat.html                                                 	             40	               0	            22	                    0	          180	             0	         138	                  0	                           1150	                               0	                           872	                                    0	                                  1290	                                      0	                                  987	                                           0	
OmegaT website en\involved.html                                               	             61	               0	            43	                    0	          538	             0	         487	                  0	                           2762	                               0	                          2407	                                    0	                                  3237	                                      0	                                 2848	                                           0	
OmegaT website en\howtos\text_export.html                                     	             94	               0	            87	                    0	         1143	             0	        1113	                  0	                           5953	                               0	                          5746	                                    0	                                  6991	                                      0	                                 6761	                                           0	
OmegaT website en\howtos\spelling.html                                        	             60	               0	            45	                    0	          597	             0	         524	                  0	                           4106	                               0	                          3461	                                    0	                                  4528	                                      0	                                 3857	                                           0	
OmegaT website en\howtos\prop12m.html                                         	             49	               0	            41	                    0	          788	             0	         757	                  0	                           4486	                               0	                          4267	                                    0	                                  5229	                                      0	                                 4987	                                           0	
