registered	registrate
tab-separated	separate per signos de tabulation
touched	alterate
writable	scribibile
set	imponite
recognized	admittite
finds	discoperi
etc.	et cetera
strings	lineas de character
quotes	virgulettas
string	linea de character
accordingly	in consequentia
newer	plus nove
exporting	exportation
TAB character	character de tabulation
item	articulo
reloaded	recargate
exchanging	le excambio
If you	Si tu
updating	renovar
enter	inscribe
spreadsheet	folio de calculo
rightclicking	cliccante lo con le dextera
So	Assi
correctly	correctemente
bothering	penar
plurals	plurales
routinely	de routine
Incompatibilities	Incompatibilitates
different	differente
translate	rende
nouns	nomines
keystrokes	percussiones de clave
allowed	permittite
fuzzy match	concordantia partial
shortcut definition file	file definition de via breve
start	initiar
find	trovar
menu item code	codice del commando del menu
Switch	Cambia
where	ubi
users	Usatores de 
Whitespace	Spatio blanc
Initializing	Initialisation
released	relaxate
pressed	calcate
modify	modifica
want	vole
conflict	conflige
will synchronize	synchronisara
check	marca
you	tu
whether	si
will find	trovara
run	exequer
elicits	evoca
subjects	subjectos
pastes	colla
clipboard	tabula del fragmento
restores	restaura
before	anterior
replaces	reimplacia
overwrites	superscribe
current	currente
suggestions	suggestiones
match	concorda
pressed keys	percussiones de clave
default	preparation base
Machine Translation	Traduction Automatic
Case	Character
Upper Case	Majuscule
Lower Case	Minuscule
All	Omne
File formats	Formatos del file
however	comocunque
item	commando
run	functionar
displays	monstra
current	currente
minimizes	minimisa
the	le
so that	assi que
maximizing	maximisation
before	precedente
undocks	leva
within	intra
including	includente
repeats	repetitiones
Shortcuts	Vias breve
Replace	Replacia
different	differente
colored	colorate
parts	partes
adjusted	adjustate
specialist	specialistic
built up	create
current segment	segmento currente
with the	con le
with the	con le
suggested	suggerite
Help browser	Lector del Adjuta
called	nominate
accessed	accedite
Command line launching	Lanceamento ab linea de commando
will like	resimilara
second	secunde
assigns	assigna
more	plus
up to	usque
validator	validator
will process	processara
sentences	phrases
ever-growing	semper crescente
learning	saper
techniques	technicas
based	basate
used	usate
forced	coercite
example	exemplo
translate	traduction
reports	reporta
change	cambiar
undock	levar
see	vider
minimized	minimisate
before	precedente
number	numero
tells	dice
have been	esseva
while	e
background	fundo
your	tu
roughly	grosso modo
longer	plus longe
there's	il ha
User Interface	Interfacie del Usator
Indicate	Indica
you can	tu pote
click	cliccar
pop-up	pop-up
treated	tractate
define	definir
classified	classificate
brings	apporta
built-in	integrate
accept	accepta
describe	describe
estimates	estimate
matched	concordate
numerals	valores numeric
below	sequente
was	era
highlight	marcar
in the	in le
glossary pane	quadro del Glossario
insert	inserer
equivalents	equivalentes
printed	imprimite
like	como
require	requirer
fit	conveni
redo	refacer
colleagues	collegas
Editor pane	quadro del Modifica
correct	corriger
scenarios	scenarios
will cause	producera
formatting	formattation
commencing	comenciar
contributes	contribue
greatly	assatis
reducing	reducer
Tools	Instrumentos
statistics	statisticas
every	cata
to be translated	a traducer
Windows	Fenestras
Main	Principal
main	principal
perform	complir
Project Files	Files del Projecto
entered	entrate
forward	avante
Keyboard shortcuts	Vias breve del Claviero
listing	Lista
Opens	Aperi
Exports	Exporta
Search window	Fenestra de Recerca
confirms	confirma
bracketed	includite
clearing	deler
Editing behaviour	Comportamento del Modifica
if it is	si il es
default	arrangiamento initial
tag	etiquettar
highly	multo
customizable	personalisabile
enabling	que habilita
numerous	plure
Most	Le major parte del
It is	Il es
make	render
attributes	attributos
you	te
enables you	habilita te
processed	processate
customize	personalisa
saving	salvar
loading	cargar
give	dar
will give	dara
They are	Illos es
backups	copias de reserva
progressively	progressivemente
progresses	progrede
Bidirectional	Bidirectional
downloads	discargamentos
the best	le melior
suggestions	suggestiones
Automating	Automatisar
File filters	Filtros de File
type	typo
Target files	Files final
Filenames	Nomine del Files
Filenames	Nomines del File
affect	affliger
given	certe
rules	Regulas
specialized	specialisate
keywords	parolas clave
attempts	tenta
integers	numeros integre
string	fila
string	fila de characteres
strings	lineas de character
strings	lineas de characteres
attached	attaccate
attached	alligate
floats	numeros a virgula mobile
integers	numeros integre
strategies	strategias
default	arrangiamento base initial
go to	va a
box	cassa
Allow translation to be equal to source	Permitte traduction equal a fonte
appear	appare
user files folder	plica del files del usator
Export Selection	Exporta le Selection
steered	governate
controlled	controlate
scripts	scriptes
launch	lancear
parameter	parametro
enable	habilitar
enable	habilita
will enable	habilitara
side-by-side	uno al latere del altere
feel	sentir
comfortable	confortabile
I don't know	Io non sape
deployed	displicate
called	clamate
create	crear
remembers	recorda
executed	executate
marking	remarca
Non-breakable	Non-frangibile
See	Vide
become	deveni
browse	navigar
feedback	information de retorno
operations	operationes
showing	monstrante
Hint	Aviso
repeated	repetite
a number of times	plure vices
computed	computate
contrary	contrarimente
become	obsolete
become	devenir
browser	lector
Undoes	Disface
actions	actiones
Redoes	Reface
Displays	Monstra
Creates	Crea
locate	ubicar
buttons	buttones
boxes	quadratos
hesitate	hesitar
into your	in tu
control	controlar
untar	decomprimer
above	precedentemente
any	cata
Import Source Files	Importa Files primari Fonte
Import Source Files	Importa Files Fonte
as well	assi como
port	porta
synchronize	synchronisa
combined	combinate
would be	esserea
requested	requirite
carried out	exequite
executed	exequite
stands	sta
megabytes	megabytes
optionally	optionalmente
records	recorda
Tagged	Taggate
use	usar
initially	initialmente
avoided	evitate
lists	lista
Copy	Copia
Match Statistics	Statisticas del Concordantia
so	ergo
progress	avantiamento
progress bar	barra de avantiamento
groups	gruppos
including	includite
calculations	calculationes
tells	indica
reverts	reveni
unavailable	indisponibile
starts	initia
console mode	modo consola
growing	crescente
altered	alterate
will appear	apparera
being translated	a render
acts	age
confirming	confirmar
source text	texto fonte
effectively	effectivemente
reusing	reusar
reused	reusate
importing	importar
Translation memories	Memorias de traduction
Sources	Fontes
Searches	Recercas
wild cards	characteres universal
carry	porta
tagged	etiquettate
prevail	prevalere
compressed	comprimite
activate	activa
sent	expedite
singles	singulos
exercised	exercitate
surrounding text	contexto
duplicated	duplicate
nesting	annidamento
nested	annidate
overlapping	superposition
manipulations	tractamentos
represent	representa
suggest	suggere
then	alora
likely	verosimilante
Apache License 2.0	Licentia Apache 2.0
License	Licentia
grammatically	grammaticamente
ambivalent	ambivalente
implications	implicationes
confidentiality	confidentialitate
credentials	credentiales
checking	marcar
checkbox	cassa de marca
as opposed	all contrario
environment	ambiente
construct	construction
carriage-return	retorna-carro
escape	escappa
octal	octal
times	vices
established	establite
enter	inscriber
locale	local
garbled	alterate
continues	continua
steadfastly	constantemente
evaluations	evalutationes
setup	preparate
degraded	degradate
pseudo-translated	pseudo-rendite
regex	regex
first	antea
correspond	corresponde
latest	ultime
function	functiona
reproduced	representate
incrementally	in modo incremental
tag group	gruppo de tag
receives	recipe
tag groups	gruppos de tag
paired	accopulate
indicate	indica
indicate	indicare
style	stilo
applies	refere se
opening	de apertura
closing	de clausura
affect	affice
will err	errara
err	errar
preserved	conservate
strictly	strictemente
duplicate	duplicar
keep	serva
erased	delite
is required	necessita
recognizing	con le recognition
slide	glissa
masters	patronos
layouts	arrangiamentos
drawings	designos
diagrams	diagrammas
charts	chartas
WordArt	WordArt
Encoding	Codification
instructed	instruite
mandatory	obligatori
leaves	lassa
lost	perdite
reinstall	reinstalla
translation project	projecto de traduction
looks	appare
viewed	visto
steps	grados
and/or	vel
next	successive
make sure	assecura te que
specifies	specifica
press	pulsa
Check	Controla
Stemmer	Cercator de radice
subfolders	sub plicas
decided	decideva
will keep	retenera
reside	demora
checkout	checkout
wish	desira
revert	retornar
represented	representate
pay	presta
tag pairs	pares de tag
guaranteed	garantite
forgetting	negliger
aligning	alineamento
back-ups	copias de reserva
regularly	regularmente
user-defined	definite per le usator
translation units	unitates de traduction
translation unit	unitate de traduction
conventions	conventiones
not	ni
becomes	deveni
filled	plen
exports	exporta
up-to-date	renovate
sharing	participar
maintaining	mantener
unmodified	identic
keep	retene
split	finde
reached	arrivate
collected	colligite
process	processar
bloat	infla
leave	lassa
digit	cifra
two-digit	duo cifras
backslash	barra reverse
target-language	lingua de destination
models	modellos
built	con
built	construite
irrelevant	irrelevante
translates	traduce
precautions	precautiones
left	lassate
will align	alineara
anyway	in omne caso
start-up	lanceamento
startup	lanceamento
e.g.	per exemplo
using	per
configured	configurava
logged	displicate
aligner	alineator
viewer	fenestra
regular	regular
intervals	intervallos
Take	Presta
consequences	consequentias
especially	specialmente
started	init
started	initiate
protecting	protection
custom	personal
exits	claude
emptied	vacuate
habits	habitudes
locations	ubicationes
is progressing	progrede
to be behaving	comportar se
erratically	erraticamente
bug report	reporto de defect
bug report	reporto de defecto
directs	dirige
regarding	re
differently	differentemente
set up	prefixar
of	del
save	salva
home page	pagina initial
toggle	commutator
states	statos
default	prefixate
default	base prefixate
setting	prefixar
source and target languages	le linguas fonte e destination
drop down menus	menus a tenta cadente
mistranslated	mal rendite
inline	in linea
Here	Ci
with	con le
for	pro le
in	in le
hits	occurrentias
Project properties	Proprietates del projecto
They	Illos
averted	avertite
Preventing Data Loss	Impedir le Perdita del Datos
need	debe
current	actual
installer	installator
Properties files	Files del Proprietates
will create	creara
large	grande
if you are	si tu es
alphabets	alphabetos
project's	del projecto
project-specific	projecto-specific
extract	extraher
joining	participar
questionnaires	questionarios
discussions	discussiones
backs up	reserva
hours	horas
believe	crede
default	prefixate initial
viewer	quadro
greyed	colorate gris
off	disactivate
edit	modificar
a number of	alicun
Right to left languages	Linguas de dextra al leva
encode	codificar
needed	necessitate
appearing	appare
interpreted	interpretate
encoded	codificate
files	Files
verbs	verbos
interest	interessa
part-of-speech	parte del discurso
partially	partialmente
find	trova
activate	activar
hidden	celate
components	componentes
preferred	preferite
valid	valide
interfere	interferera
set	serie
Use	Usa
activate	activar
proceed	proceder
segmentation rules	regulas de segmentation
finds	trova
switch	cambiar
parses	analysa
structure-level	a nivello de structura
conforms	conforma
regardless	sin reguardo
appear	apparer
that is	id es
there is no	il non ha
multinational	multinational
output	emittite
regard	considerar
export	exportation
reuse	reusar
place	pone
former	previe
latter	ultime
pre-translate	pre-traducer
same	mesme
finish	fini
begin	initia
parsed	analysate
unnecessarily	inutilemente
slow	tardar
consider	considerar
imported	importate
seen	vidite
at which	ubi
repaired	reparate
fail	faller
fixes	reparationes
assists	assiste
fully	plenmente
dangers	periculos
Create	Crea
language pair	par de linguas
will include	includera
expected	expectate
press	pulsar
project folder	plica del projecto
archive	archiva
away	foras
workplace	posto del labor
will prefer	preferera
distribute	distribuer
local	local
sources	fontes
serve	servir
rename	renominar
renamed	renominate
merge	funder
depend	dependera
Match pane	quadro del Concordantia
Comment pane	quadro del Commento
pre-process	pre-processar
if you wish	si tu desira
tmx	TMX
on the fly	al volo
upgraded	promovite
totally	totalmente
