file filter	filtro del file
assure	assecurar
regular expression	expression regular
matching	que concorda
rendered	marcate
source segment	segmento fonte
matches	concorda
items	elementos
sheet	pagina
bookmark	signalibro
bookmarks	signa-libros
bookmark	signa-libro
pattern	modello
encounters	incontra
file's	del file
precisely	precisemente
to	de
match	concordar
filter's	del filtro
processing	processar
For example	Per exemplo
text filter	filtro de texto
identifies	identifica
interprets	interpreta
interpret	interpretara
common-sense	sensate
computer's	computator
Central	central
range	campo
formatting information	information de formattation
sizes	dimensiones
colors	colores
positions	positiones
here's	ecce
outdated	vetule
trip	giro
round	rondo
round-trip	giro rondo
conversions	conversiones
be sure to	assecura te de
Left-To-Right (LTR) languages	linguas ab Sinistra a Dextera (Left-To-Right - LTR)
Right-To-Left (RTL) languages	linguas ab Dextera a Sinistra (Right-To-Left - RTL)
modes	modos
by pressing	pulsante
whatsoever	alicun
commonly	communmente
Glossary	Glossario
Fuzzy Matches	Concordantias Partial
Right to left languages	Linguas ab Dextera a Sinistra
Mixing	Miscer
indications	indicationes
Modifying	Modificar
result	resultar
source files	files fonte
just	sol
unwanted	non volite
painted	colorate
most	maximo
uppercase	majuscule
terminators	terminatores
classes	classes
predefined	prefixate
performed	effectuate
limit	limitar
unifying	unificar
simplifying	simplificar
assuming	supponente
will segment	segmentara
enclosing	includente
encloses	include
repairing	reparar
recreating	recrear
include	includer
faced	affrontate
awkward	difficile
involve	implica
ends	fines
blocks	blocos
to	al
toggle	cambiar
forth	in avante
view	vider
entering	inscriber
output	emission
customize	personalisar
boundary	frontiera
non-word	non-parola
quantifiers	quantificatores
non-greedy	non-avide
will match	concordara
vowels	vocales
preceded	precedite
consonants	consonantes
upper-case	majuscule
Search for box	Cassa pro le recerca
decide	decider
checks	controla
sequences	sequentias
suspected	suspecte
permit	permitte
font sizes	dimensiones de typo de character
reduce	reducer
relevant	relevante
matchers	concordatores
analyzes	analyse
middle	medio
yielding	que rende
hit	pulsa
clutter	incombrar
restricts	restringe
Consequently	Per consequentia
quite	bastante
turn on	activa
combine	combinar
occur	occurre
Additionally	In addition
observed	observate
criteria	criterios
increase	accrescer
pictured	illustrate
consisting	consistente
break rule	regula de interruption
exception rule	regula de exception
unticked	non marcate
defining	definir
meaningful	significative
lastly	in fin
major	major
expand	expander
set	collection
ticked	marcate
describing	describente
personal	personal
tracker	revision
Ctrl+Left	Ctrl+Sinistra
largest	plus grande
honour	honor
Russian Federation	Federation Russe
participated	participate
governance	bon governabilitate
governance	governabilitate
deeply	profundemente
affected	affligite
Your	Vostre
committed itself	ha prendite le carga
consolidating	consolidar
organizations	organisationes
achieving	arrivar a
suited to	apte al
today’s	hodierne
interdependent	interdependente
achieve	obtener
healthcare	assistentia sanitari
dignified	digne
remotest	plus remote
standpoint	puncto de vista
armed	armate
Middle East	Medie Oriente
Mr	Sr.
President	Presidente
invoke	invoca
member	associate
I	Io
leader	leader
bitterly	probate
strife	conflicto
bringing	apportar
border	confinio
Heads	Capites
State	Stato
prevailed	prevalite
