spent	ha passate
politicians	politicos
caused	causava
environmental	ambiental
fuels	combustibiles
focused	focalisate
came in	adhereva
interconnected	interconnectite
interrelated	interrelatate
kind of thinking	modo de pensar
couldn't	non pote
ban	bannir
nuclear plant	installation nucleari
plant	installation
plants	installationes
climate	climate
climate change	mutation climatic
come to the forefront	devenite famose
forefront	proscenio
was	era
was	ero
there was	c'era
going	vadeva
were going	vadeva
saw	videva
a lot of	un quantitate de
start	initiava
unsustainable	insustenibile
knew	cognosceva
know	cognosceva
mean	intende
things	cosas
making	producer
waste	residuos
part	zona
bark	cortice
shavings	rasuras
biomass	biomassa
trees	arbores
forest	foresta
misrepresents	mal representa
statements	communicatos
misrepresents	distorque
wilderness	natura inculte
wood	ligno
mentioned	mentionava
happened	occurreva
ago	desde
brought	apportava
warming	recalefaction
warming	calefaction
denier	negator
science	scientia
settled	establite
overwhelming	vincente
warmer	plus calide
humans	le humanos
emitting	emitter
there is	il es
been	essite
optimal	optimal
CO2	CO2
make	rende
say	dice
don't	non ha facite lo
evolved	evolveva
first	le prime vice
thought	thought
thought	pensate
biotechnology	biotechnologia
came	arrivate
went	es arrivate
trend of thinking	modo de pensar
one-on-one	biunivoc
