4/18/15 12:40 AM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	    26459	 217599	                  1207409	                         1385750	   112	
Restante:     	    10179	  80217	                   456648	                          517088	    24	
Unic:         	    14803	 141101	                   805378	                          919649	   101	
Unic restante:	     5510	  48314	                   297391	                          331544	    24	


Statistica individual del file:

Nomine del file                                                                	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
manual.txt.UTF8                                                                	           4324	            3619	          3854	                 3464	        32197	         29489	       31842	              29209	                         156598	                          141604	                        152567	                               139293	                                184560	                                 167296	                               180352	                                      164832	
English Basic - Copia.txt                                                      	           1062	             557	          1062	                  557	         8481	          4256	        8481	               4256	                         102133	                           53245	                        102133	                                53245	                                104252	                                  54161	                               104252	                                       54161	
TrascrizionePatrickMooreprimarevisioneCopia.odt                                	            411	               0	           411	                    0	         9537	             0	        9537	                  0	                          42697	                               0	                         42697	                                    0	                                 51809	                                      0	                                51809	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\src\org\omegat\Bundle.properties              	            883	               0	           853	                    0	         4278	             0	        4207	                  0	                          24134	                               0	                         23707	                                    0	                                 27437	                                      0	                                26969	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\release\win32-specific\CustomMessages.ini     	              5	               0	             5	                    0	           45	             0	          45	                  0	                            231	                               0	                           231	                                    0	                                   271	                                      0	                                  271	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\readme.utf8                                   	            338	               0	           286	                    0	         1984	             0	        1829	                  0	                          11283	                               0	                          9860	                                    0	                                 12948	                                      0	                                11417	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\UserInterface.xml                  	            305	               0	           293	                    0	         3486	             0	        3456	                  0	                          17769	                               0	                         17600	                                    0	                                 20978	                                      0	                                20790	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\TranslationMemories.xml            	            188	               0	           185	                    0	         3170	             0	        3162	                  0	                          16495	                               0	                         16429	                                    0	                                 19467	                                      0	                                19396	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\Spellchecker.xml                   	             43	               0	            42	                    0	          747	             0	         745	                  0	                           3963	                               0	                          3951	                                    0	                                  4670	                                      0	                                 4657	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\Segmentation.xml                   	             86	               0	            83	                    0	         1032	             0	        1029	                  0	                           5191	                               0	                          5181	                                    0	                                  6151	                                      0	                                 6141	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\Searches.xml                       	             78	               0	            75	                    0	          994	             0	         990	                  0	                           4898	                               0	                          4869	                                    0	                                  5827	                                      0	                                 5797	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\Regexp.xml                         	            167	               0	           143	                    0	          797	             0	         727	                  0	                           4203	                               0	                          3784	                                    0	                                  4806	                                      0	                                 4348	                                           0	
